--------------------
BDMEP - INMET
--------------------
Estação           : RECIFE  CURADO  - PE (OMM: 82900)
Latitude  (graus) : -8.05
Longitude (graus) : -34.95
Altitude  (metros): 10.00
Estação Operante
Inicio de operação: 07/07/1961
Periodo solicitado dos dados: 01/01/2000 a 12/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;
82900;03/06/2000;0000;;28.5;;4.7;85.25;
82900;03/06/2000;1200;0.5;;22.7;;;
82900;04/06/2000;0000;;29;;8.9;84;
82900;04/06/2000;1200;8;;21;;;
82900;05/06/2000;0000;;29.2;;8.4;82.5;
82900;05/06/2000;1200;0.3;;20.5;;;
82900;06/06/2000;0000;;26.6;;0.1;95.25;
82900;06/06/2000;1200;17.3;;21.9;;;
82900;07/06/2000;0000;;26.3;;0.1;88.5;
82900;07/06/2000;1200;46.3;;21.9;;;
82900;08/06/2000;0000;;26.2;;0;93.5;
82900;08/06/2000;1200;41.4;;19.4;;;
82900;09/06/2000;0000;;28.2;;2.4;85.75;
82900;09/06/2000;1200;77;;22.9;;;
82900;10/06/2000;0000;;27;;0.9;90.75;
82900;10/06/2000;1200;16;;21.3;;;
82900;11/06/2000;0000;;28.4;;6.8;90.25;
82900;11/06/2000;1200;15.1;;21.3;;;
82900;12/06/2000;0000;;28.7;;8.2;86.75;
82900;12/06/2000;1200;0.2;;21.4;;;
82900;13/06/2000;0000;;27.9;;4.1;86.5;
82900;13/06/2000;1200;9.6;;22.4;;;
82900;14/06/2000;0000;;27.2;;0;87.5;
82900;14/06/2000;1200;27.7;;19.8;;;
82900;15/06/2000;0000;;27;;0.5;95.75;
82900;15/06/2000;1200;5.6;;21.7;;;
82900;16/06/2000;0000;;25.8;;0.8;93.75;
82900;16/06/2000;1200;73.6;;21.5;;;
82900;17/06/2000;0000;;28.8;;8.4;84.5;
82900;17/06/2000;1200;2.6;;21.2;;;
82900;18/06/2000;0000;;28.8;;6.3;86.5;
82900;18/06/2000;1200;0;;21.9;;;
82900;19/06/2000;0000;;28.5;;6.4;82.25;
82900;19/06/2000;1200;7.4;;23;;;
82900;20/06/2000;0000;;28.4;;4.6;86.75;
82900;20/06/2000;1200;15.7;;22.6;;;
82900;21/06/2000;0000;;27.4;;1.6;92.75;
82900;21/06/2000;1200;13;;21.6;;;
82900;22/06/2000;0000;;28.3;;7.1;86;
82900;22/06/2000;1200;10.6;;22;;;
82900;23/06/2000;0000;;28.5;;8.1;76.5;
82900;23/06/2000;1200;10.2;;23.2;;;
82900;24/06/2000;0000;;28.5;;10;73.5;
82900;24/06/2000;1200;0;;25.4;;;
82900;25/06/2000;0000;;25.9;;0;96.5;
82900;25/06/2000;1200;7.2;;22.5;;;
82900;26/06/2000;0000;;28.5;;3.5;89.25;
82900;26/06/2000;1200;105.2;;22.6;;;
82900;27/06/2000;0000;;28.1;;0.9;77.5;
82900;27/06/2000;1200;3;;22;;;
82900;28/06/2000;0000;;28.2;;4;73;
82900;28/06/2000;1200;5.8;;23;;;
82900;29/06/2000;0000;;28.4;;9.3;79.5;
82900;29/06/2000;1200;0;;21;;;
82900;30/06/2000;0000;;26.4;;0.2;97;
82900;30/06/2000;1200;5.1;;23;;;
82900;01/07/2000;0000;;27.9;;3.8;89.75;
82900;01/07/2000;1200;69;;22;;;
82900;02/07/2000;0000;;28;;6.6;80.75;
82900;02/07/2000;1200;11;;21.6;;;
82900;03/07/2000;0000;;24.4;;0;94.75;
82900;03/07/2000;1200;53;;21.7;;;
82900;04/07/2000;0000;;27.3;;4.2;88;
82900;04/07/2000;1200;25;;22;;;
82900;05/07/2000;0000;;27.6;;8;83;
82900;05/07/2000;1200;16.4;;22.2;;;
82900;06/07/2000;0000;;26.7;;3.4;86.5;
82900;06/07/2000;1200;3.4;;21;;;
82900;07/07/2000;0000;;25.6;;0;87.5;
82900;07/07/2000;1200;15.4;;21;;;
82900;08/07/2000;0000;;27.4;;3;79;
82900;08/07/2000;1200;8.7;;21.3;;;
82900;09/07/2000;0000;;28.2;;9.9;78.75;
82900;09/07/2000;1200;0.5;;20.5;;;
82900;10/07/2000;0000;;25.9;;0.2;92.75;
82900;10/07/2000;1200;8.2;;21;;;
82900;11/07/2000;0000;;26.2;;0;89.25;
82900;11/07/2000;1200;53.7;;22.6;;;
82900;12/07/2000;0000;;27.5;;3.3;87;
82900;12/07/2000;1200;45.3;;23;;;
82900;13/07/2000;0000;;27.7;;8.3;85.5;
82900;13/07/2000;1200;4.7;;21.6;;;
82900;14/07/2000;0000;;25.8;;0.1;96;
82900;14/07/2000;1200;22.4;;22.2;;;
82900;15/07/2000;0000;;26.2;;0.3;;
82900;15/07/2000;1200;59;;22;;;
82900;16/07/2000;0000;;27.5;;6.7;88;
82900;16/07/2000;1200;3.1;;20.7;;;
82900;17/07/2000;0000;;28.6;;8.6;86.75;
82900;17/07/2000;1200;0;;20.8;;;
82900;18/07/2000;0000;;28.7;;9;82.5;
82900;18/07/2000;1200;0;;20.4;;;
82900;19/07/2000;0000;;27.9;;1.8;90.75;
82900;19/07/2000;1200;0.7;;22.2;;;
82900;20/07/2000;0000;;28.2;;6.8;87.5;
82900;20/07/2000;1200;57;;20.6;;;
82900;21/07/2000;0000;;28.6;;1;79.5;
82900;21/07/2000;1200;5.3;;22;;;
82900;22/07/2000;0000;;28;;8.1;84.25;
82900;22/07/2000;1200;0.3;;23;;;
82900;23/07/2000;0000;;27.7;;3.5;87.25;
82900;23/07/2000;1200;5.4;;21.6;;;
82900;24/07/2000;0000;;28;;8;81.5;
